,Lat,Long,Incidents,closest_police_stations_distance,closest_bike_lockers_distance,closest_lcbo_distance,closest_subway_stations_distance,closest_pawn_shops_distance,closest_bike_stores_distance
30,43.58799638933824,-79.54737856485148,6.0,6209.645611493205,385.1053551159718,830.8609678323944,5616.0785961401825,10733.436611961166,4231.371487349073
31,43.58799638933824,-79.5449046391089,1.0,6170.016356079936,382.810948524366,717.7500399001125,5585.178431949936,10614.883461973497,4046.0586454534937
34,43.58799638933824,-79.53748286188119,3.0,6088.996705154785,787.5496954271817,684.5640635329944,5534.840881825115,10274.308159404865,3499.6771825846436
35,43.58799638933824,-79.53500893613861,4.0,6074.8934440419425,968.3955638946302,782.7949987617733,5532.396820780581,10166.09185389677,3321.6092035467645
36,43.58799638933824,-79.53253501039603,4.0,6067.3339618718155,1155.4976211371063,914.7318094516448,5537.15933466576,10060.674456477143,3146.1484990093045
232,43.58980236801471,-79.54737856485148,1.0,6013.786005722201,199.49699301428046,690.3551545444424,5418.527307111483,10573.509059325499,4162.230708821248
236,43.58980236801471,-79.53748286188119,1.0,5889.129711275189,715.3414067896895,504.8711492864899,5334.2843999410225,10107.132580154714,3415.7823897748303
237,43.58980236801471,-79.53500893613861,2.0,5874.547077698716,910.6367437587721,631.688705520974,5331.748480928688,9997.11011174212,3233.10268508754
239,43.58980236801471,-79.53006108465347,7.0,5865.70457296692,1305.3091727833428,962.6908159977422,5349.087966561844,9785.579244473296,2874.571126889239
242,43.58980236801471,-79.52263930742573,1.0,5903.301123526372,1901.1557816272802,1522.1914573278118,5430.357620878215,9490.972313944845,2361.5811974870717
435,43.591608346691174,-79.5449046391089,1.0,5775.9414636948895,100.26211629796113,410.1444586965127,5187.962919618627,10292.778450615308,3910.30997319293
439,43.591608346691174,-79.53500893613861,1.0,5674.222236376287,895.1262047309596,515.573012001188,5131.1003518965745,9829.319348664409,3154.8915070434973
440,43.591608346691174,-79.53253501039603,1.0,5666.128707219333,1094.811373526767,699.8345595683223,5136.234669747015,9720.25685663128,2969.6078805251923
