Address,City,Province,Postal Code,Latitude,Longitude
 1 Howland Rd. , Toronto, ON , M4K 2Z4,43.666841,-79.346798
 1204 Bloor St. W. , Toronto, ON , M6H 1N2,43.659375,-79.438361
 1222 Bloor St. W. , Toronto, ON , M6H 1N3,43.659211,-79.439143
 151 Robinson St, Unit 1. , Oakville, ON,43.444222,-79.668704
 1510 Danforth Ave, , Toronto, ON,43.683205,-79.325187
 156 Bathurst St. , Toronto, ON , M5V 2R3,43.646024,-79.403941
 1592 Queen St. E. , Toronto, ON , M4L 1G1,43.666237,-79.317927
 180 John St. , Toronto, ON,,43.650679,-79.391675
 1894 Lawrence Ave. E. , Toronto (Scarborough), ON , M1R 2Y5,43.744413,-79.301352
 2007 Bloor St. W. , Toronto, ON,,43.65191,-79.472124
 2063 Yonge St. , Toronto, ON , M4S 2A2,43.70225,-79.397103
 2100 Bloor St West, Unit 4 , Toronto, M6S 1M7,43.652622,-79.471004
 213 Roncesvalles Ave. , Toronto, ON,,43.645655,-79.448542
 2214 Bloor Street W. , Toronto, ON , M6S 1N6,43.651398,-79.475991
 2749 Lake Shore Blvd W , Toronto, ON , M8V 1H2,43.601905,-79.498597
 290A Harbord St. , Toronto, ON , M6G 1G6,43.660564,-79.415026
 309 Augusta Ave. , Toronto, ON , M5T 2M2,43.656769,-79.402498
 3096 Dundas Street West , Toronto, Ontario , M6P1Z8,43.665623,-79.472955
 390 Progress Ave. , Toronto, Ontario , M1P 2Z6,43.77582,-79.263879
 412 Bloor Street W. , Toronto, ON , M5S 1X5,43.665912,-79.408103
 4231 Dundas Street W. , Toronto (Etobicoke), ON , M8X 1Y3,43.659488,-79.512698
 452 Richmond St. W. , Toronto, ON , M5V 1Y1,43.647975,-79.397432
 610 Markham St , Toronto, ON , M6G 2L8,43.664315,-79.412527
 615 Kingston Rd. , Toronto, ON , M4E 1R3,43.678666,-79.298503
 625 St.Clair Ave.W. , Toronto, ON , M6C 1A7,43.681932,-79.423604
 863 Bloor St. W. , Toronto, ON,,43.661957,-79.424603
 94 Laird Dr. , Toronto, ON , M4G 3V2,43.705859,-79.362088
