Address,City,Latitude,Longitude
 75 Eglinton Av. W., Toronto,43.706134,-79.400478
 2054 Davenport Rd., Toronto,43.671071,-79.460825
 200 Trethewey Dr., Toronto,43.694432,-79.486998
 1435 Eglinton Av. W., Toronto,43.698313,-79.436676
 350 Dovercourt Rd., Toronto,43.651168,-79.42576
 51 Parliament St., Toronto,43.65205,-79.362198
 255 Dundas St. W., Toronto,43.654197,-79.389835
 75 Eglinton Av. W., Toronto,43.706134,-79.400478
 41 Cranfield Rd., Toronto,43.71479,-79.30954
 101 Coxwell Av., Toronto,43.669049,-79.317483
 30 Ellerslie Av., Toronto,43.771909,-79.41529
 3699 Bloor St. W., Toronto,43.642593,-79.530925
 5230 Finch Av. W, Toronto,43.74373,-79.584135
 40 Norfinch Dr., Toronto,43.756689,-79.527587
 30 Ellerslie Av., Toronto,43.771909,-79.41529
 50 Upjohn Rd., Toronto,43.750994,-79.350032
 2222 Eglinton Av. E., Toronto,43.730926,-79.277267
 242 Milner Av. E., Toronto,43.78919,-79.239904
 4331 Lawrence Av. E, Toronto,43.770472,-79.173459
